Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Median_income,Lower_education_count,Higher_education_count,Total_population,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,Population,Previous_population,Population_growth_rate,Population_growth
2016,Rättvik,98.9,0.0,33.0,3.0,5.0,5.0,3.0,13.0,31.0,8.0,8.8,354.1,321.5,1073.0,1124.0,10830.0,9.91,10.38,1.0475,10777.0,10830.0,-0.004893813481071099,-53.0
2016,Smedjebacken,89.9,0.0,14.000000000000002,0.0,9.0,6.0,3.0,17.0,43.0,9.0,7.7,355.8,330.7,894.0,901.0,10867.0,8.23,8.29,1.0078,10763.0,10867.0,-0.009570258581025122,-104.0
2016,Säter,91.8,0.0,17.0,3.0,3.0,6.0,6.0,14.000000000000002,40.0,11.0,8.0,360.6,332.9,1022.0,1194.0,11081.0,9.22,10.78,1.1683,11009.0,11081.0,-0.006497608519086725,-72.0
2016,Vansbro,87.1,6.0,35.0,10.0,0.0,6.0,3.0,3.0,32.0,3.0,8.2,347.1,313.0,479.0,472.0,6801.0,7.04,6.94,0.9854,6704.0,6801.0,-0.014262608439935303,-97.0
2016,Älvdalen,93.1,6.0,23.0,0.0,3.0,0.0,0.0,11.0,49.0,9.0,8.5,336.5,320.7,501.0,515.0,7039.0,7.12,7.32,1.0279,7048.0,7039.0,0.0012785907089075152,9.0
2017,Avesta,80.4,7.000000000000001,7.000000000000001,2.0,2.0,5.0,2.0,12.0,51.0,10.0,8.6,344.2,323.3,1922.0,1979.0,23172.0,8.29,8.54,1.0297,23046.0,23172.0,-0.0054375970999482135,-126.0
2017,Borlänge,81.1,3.0,8.0,3.0,5.0,7.000000000000001,3.0,15.0,36.0,20.0,8.6,341.6,316.5,5100.0,5673.0,51883.0,9.83,10.93,1.1124,51481.0,51883.0,-0.007748202686814564,-402.0
2017,Falun,88.3,3.0,11.0,2.0,7.000000000000001,8.0,7.000000000000001,21.0,33.0,8.0,8.7,374.2,329.8,6819.0,10086.0,58248.0,11.71,17.32,1.4791,57544.0,58248.0,-0.012086251888476857,-704.0
2017,Gagnef,90.7,20.0,20.0,3.0,6.0,3.0,3.0,11.0,26.0,9.0,7.6,361.9,328.5,934.0,1072.0,10253.0,9.11,10.46,1.1478,10142.0,10253.0,-0.010826099678142983,-111.0
2017,Hedemora,85.6,10.0,17.0,0.0,5.0,7.000000000000001,2.0,17.0,32.0,10.0,9.0,342.8,319.3,1369.0,1423.0,15526.0,8.82,9.17,1.0394,15388.0,15526.0,-0.008888316372536391,-138.0
