Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2017,Hedemora,85.6,9.76,17.07,0.0,4.88,7.32,2.44,17.07,31.71,9.76,9.0,342.8,8.82,9.17,1.0394,1423.09,15388.0,-0.008888316372536391
2017,Leksand,88.2,8.16,22.45,12.24,6.12,6.12,2.04,12.24,24.49,6.12,8.6,375.9,10.94,13.44,1.2286,2096.11,15447.0,-0.009236097748701174
2017,Ludvika,83.5,2.22,4.44,0.0,6.67,8.89,2.22,22.22,37.78,15.56,7.7,346.6,8.45,11.06,1.3085,2982.08,26781.0,-0.006786826880284824
2017,Malung-Sälen,92.8,5.13,10.26,0.0,0.0,10.26,7.69,23.08,38.46,5.13,9.2,368.7,8.21,8.32,1.0145,840.08,10024.0,-0.006639579823605192
2017,Mora,78.2,9.76,26.83,2.44,4.88,4.88,2.44,12.2,29.27,7.32,7.6,362.4,9.79,11.68,1.1933,2377.1,20241.0,-0.005405139796570193
2017,Orsa,91.0,0.0,38.71,3.23,3.23,6.45,3.23,3.23,25.81,16.13,10.4,331.2,9.16,10.09,1.1016,694.09,6831.0,-0.006977758395115569
2017,Rättvik,98.1,0.0,33.33,2.56,5.13,5.13,2.56,12.82,30.77,7.69,8.4,361.4,9.97,10.42,1.0455,1127.1,10830.0,0.001479563528759016
2017,Smedjebacken,85.7,0.0,14.29,0.0,8.57,5.71,2.86,17.14,42.86,8.57,6.9,358.9,8.16,8.78,1.0755,954.08,10867.0,-0.00018400956849756188
2017,Säter,87.5,0.0,17.14,2.86,2.86,5.71,5.71,14.29,40.0,11.43,8.3,368.1,9.38,10.97,1.1698,1226.09,11081.0,-0.008500357909806728
2017,Vansbro,79.4,6.45,35.48,9.68,0.0,6.45,3.23,3.23,32.26,3.23,7.3,336.8,7.17,7.15,0.998,487.07,6801.0,-0.0013215859030837004
