Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Left_minus_Right,Median_income,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2016,Leksand,92.5,36.73,30.6,6.1299999999999955,338.8,9.1,380.4,10.85,13.15,1.2124,2032.11,15299.0,-0.009581148443063379
2016,Ludvika,92.2,53.34,37.78,15.560000000000002,319.3,8.2,343.0,8.42,10.96,1.3016,2935.08,26322.0,-0.017139016466898173
2016,Malung-Sälen,89.8,48.72,28.209999999999997,20.51,329.2,9.7,358.6,7.96,8.1,1.0175,812.08,9972.0,-0.0051875498802873106
2016,Mora,80.1,39.03,21.96,17.07,329.6,8.1,358.8,9.87,11.59,1.1748,2346.1,20057.0,-0.00909045995751198
2016,Orsa,100.0,35.49,22.59,12.900000000000002,308.1,10.1,331.5,8.94,9.84,1.0998,672.09,6746.0,-0.01244327331283853
2016,Rättvik,98.9,41.03,23.07,17.96,321.5,8.8,354.1,9.91,10.38,1.0475,1124.1,10777.0,-0.004893813481071099
2016,Smedjebacken,89.9,57.14,25.71,31.43,330.7,7.7,355.8,8.23,8.29,1.0078,901.08,10763.0,-0.009570258581025122
2016,Säter,91.8,48.57,28.58,19.990000000000002,332.9,8.0,360.6,9.22,10.78,1.1683,1194.09,11009.0,-0.006497608519086725
2016,Vansbro,87.1,38.71,16.14,22.57,313.0,8.2,347.1,7.04,6.94,0.9854,472.07,6704.0,-0.014262608439935303
2016,Älvdalen,93.1,51.43,20.0,31.43,320.7,8.5,336.5,7.12,7.32,1.0279,515.07,7048.0,0.0012785907089075152
2017,Avesta,80.4,58.54,24.4,34.14,323.3,8.6,344.2,8.29,8.54,1.0297,1979.08,23046.0,-0.0054375970999482135
2017,Borlänge,81.1,47.550000000000004,37.7,9.850000000000001,316.5,8.6,341.6,9.83,10.93,1.1124,5673.1,51481.0,-0.007748202686814564
2017,Falun,88.3,47.55,31.15,16.4,329.8,8.7,374.2,11.71,17.32,1.4791,10086.12,57544.0,-0.012086251888476857
2017,Gagnef,90.7,34.28,22.86,11.420000000000002,328.5,7.6,361.9,9.11,10.46,1.1478,1072.09,10142.0,-0.010826099678142983
