Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Median_income,Average_income,Lower_education_percentage,Population_growth_rate
2020,Leksand,91.4,28.57,32.65,341.4,8,11.21,0.00228108
2020,Ludvika,89,46.66,40,321.9,7.7,8.61,0.009562739
2020,Malung-Sälen,88.4,46.16,38.46,339.1,7.7,8.39,-0.00247231
2020,Mora,86.4,31.71,24.4,333.6,7.3,10,-0.003709126
2020,Orsa,88.3,35.49,22.58,312.3,9.7,9.03,0.00318933
2020,Rättvik,98.4,30.77,35.89,336.7,7.6,10.36,-0.00580341
2020,Smedjebacken,92.7,57.14,28.58,338.1,6.6,8.35,0.004058292
2020,Säter,93.9,40,34.29,339.7,6.7,9.8,-0.003139858
2020,Vansbro,93.1,32.26,25.81,320.8,7.7,7.64,-0.002203614
2020,Älvdalen,95.2,34.29,22.86,327.2,7.8,7.38,-0.000710833
2021,Avesta,74.3,51.22,39.02,333.1,7.4,8.57,0.007457805
2021,Borlänge,86.4,44.27,40.98,325.3,7.4,9.98,0.003425182
2021,Falun,90.6,44.27,34.43,346,6.8,11.61,-0.004198167
2021,Gagnef,96.4,28.58,28.57,346.6,6.7,9.71,-0.011527103
2021,Hedemora,83.5,36.59,34.14,327.2,8.1,9.23,-0.001489059
2021,Leksand,89,28.57,32.65,353.4,7.4,11.32,-0.014487324
2021,Ludvika,87.1,46.66,40,326.2,7.1,8.75,0.006340101
2021,Malung-Sälen,90,46.16,38.46,352.9,7.1,8.64,-0.00462644
2021,Mora,87.9,31.71,24.4,340.5,6.6,10.24,-0.005484638
2021,Orsa,79.4,35.49,22.58,318.1,8.7,9.14,-0.004042738
2021,Rättvik,88.7,30.77,35.89,342,7.7,10.4,-0.005500947
2021,Smedjebacken,92.2,57.14,28.58,347.1,6.4,8.68,-0.008504801
2021,Säter,88,40,34.29,347.3,6.3,10.04,-0.007125679
2021,Vansbro,85.7,32.26,25.81,328.5,6.9,7.64,0.006357185
2021,Älvdalen,87,34.29,22.86,328,8.3,7.71,0.000711339
2022,Avesta,87.3,48.78,43.9,323.3,6.7,8.82,0.000130856
2022,Borlänge,83.7,44.27,42.62,314,7.3,10.28,0.000996016
2022,Falun,92.2,45.91,37.71,333.6,6,11.79,-0.001119372
2022,Gagnef,91,28.57,40,331.9,6.4,10.13,0.000953562
2022,Hedemora,89.1,34.28,42.86,313.6,7.2,9.49,0.000323813
2022,Leksand,84.3,34.15,31.71,340.8,6.5,11.46,-0.006514052
2022,Ludvika,84.5,44.44,42.22,313.7,6.6,9.08,0.005883916
2022,Malung-Sälen,93.3,41.03,41.02,339.2,6.9,8.95,-0.005482134
2022,Mora,85.1,29.27,29.28,326.4,6.3,10.34,-0.003193188
